,TEXT
0,2007-11-06 15:04
1,"初探刘累扰龙中的龙(论文)(现天涯论坛已有不少爱古文学之人,我将这篇论文重发,以便得到斧正)（论文） 刘施 现不少刘氏家谱中，都提到了刘累扰龙。那么，刘累扰龙中的龙是何物呢？是神话中的龙，或是其它什么动物。众多的家谱中却没有谈及，这很使人感到困惑。笔者查阅了司马迁的《史记》，以及其它有关的史料，令人遗叹的是，没查到这方面的注释。看来，这是个历史上遗留下来的疑难。为解决历史疑难，笔者对这个问题进行初探，现凭仅有的史料撰文，算是抛砖引玉，以飨读者。司马迁的《史记》中记载：“陶唐即衰，其后有刘累学扰龙于豢龙氏，以事孔甲赐姓御龙氏。”据此刘累为御龙氏，是驯养龙的。那么，龙又是何物呢？据许慎的《说文解字》的意思：龙，有鳞甲动物的首领。能使天地幽暗，能使天地光明，能变大，能变短也能变长。春天登上天空，秋分潜入深渊。许慎解释的龙是神话传说中的龙。那第，司马迁的《史记》中的刘累扰的是什么样的龙呢？不妨关注一下应劭在《史记》集解中的说法：“扰音柔。扰，。驯也。能养得其嗜欲。”也就是说，刘累驯养的龙，能将其驯养得顺服，能满足人的食欲。而神话传说中的龙是不可能满足食欲的，因此，《史记》中龙与《说文解字》中的龙是两个不同的概念，即一个是生活中的龙，一个是神话中的龙。《史记》集解的应勋是东汉时的史学家，出身于东汉汝南南项，他即是东汉时的史学家，又与司马迁同是汉朝人，他的集解是具有可信性的。刘累扰龙中的龙是何物呢？笔者认为应该是犀牛，其作如下初探。一、与避讳的关联关于汉朝的避讳，笔者据仅有的史料，有如下见解：（一）皇帝的名讳，字不讳。如汉高祖刘邦，字季。他的名邦避讳，而他的字是季就不讳。《汉书音义》曰：“讳邦”。又如战国时代的思想家荀况，在汉朝时只能称呼为赵卿。因汉宣帝叫刘询，询与荀同音，因避讳，将荀况改称为赵卿，因荀况是战国时代的赵国人。（二）皇帝的姓不讳，如《史记》中的刘字很多。（三）对刘字的解释避讳。如东汉时期许慎的《说文解字》里无“刘”字。徐铉引徐锴说：“《说文》无刘字，偏傍有之，此字又史传所不见”。为啥无刘字的解释呢？原来，刘字乃是杀的意思。因此，刘氏天下的汉朝，是讳解释刘字的。汉景帝刘启，这个启字与犀字古音是同音的。据《说文解字》中的注音：启，康礼切。犀,先稽切.《汉书音义》曰：“讳启”。又如《墨子耕柱》中“昔日夏后开。”汉人避景帝讳，改启为开字，可证明刘启的启字是避讳的。那么，刘启与犀牛又有什么联系呢？笔者不妨作一个推测。如果将犀牛二字倒读，就成了牛犀，这牛犀与刘启音同，这就增加避讳的可能性。笔者认为，司马迁在写《史记》时，用龙字取代避讳的犀牛是非常明智的，龙是皇帝天子的化身，用龙字替代避讳的犀牛，是能够被汉朝人，甚至当时汉武帝（刘启的儿子）所接受的。二、关于犀牛的历史状况据《辞海》介绍：“犀牛，哺乳纲。吻上有一或两角。前肢三或四指，后肢三趾。门齿不发达，无上犬齿。毛极稀少，皮厚而韧，多皱襞，色微黑。以植物为食……产非洲，印度尼西亚等地。肉可食，皮可制鞭。”据《辞海》的介绍，犀牛的产地未提到我国，那么，我国古代是否生长犀牛？有如下依据佐证我国古代生长过犀牛。北京周口店顶洞一遗址中，发掘出距今1万——2万年的犀牛化石。陕西兴平出土有战国时期的错金银云纹犀尊。此是一尊盛酒器，是以形象雄壮，体态逼真的犀牛造形。据《山海经》载：“有兽，状如牛，苍身而无角，一足，其声如雷，其名曰夔。黄帝得之，以其皮为鼓，木厥以雷兽之骨，声闻五百里，以威天下”。其所说的夔，应该是犀牛。又据《孟子膝文公》载：“周公相武王诛讨奄。三年讨其君驱飞谦于海隅而戮之，灭国者五十，驱虎、豹、犀象而远之，天下大悦。”又据许慎的《说文解字》载：“犀，南徼外牛。一角在鼻，一角在顶，似豕。”晋朝左思《三都赋》中的蜀都赋曰：“孔翠群翔，犀象竟驰”。上述可以佐证犀牛在我国生长过。三、刘累扰龙的注释关于刘累扰龙，应劭的集解说：“扰音柔。扰，驯也。能养得其嗜欲。”应劭是东汉的史学家，他的集解据有一定的权威性。他在集解中的意思是：刘累扰的这种龙，是能驯养的，其肉是可以满足人食欲方面亨受的。《史记》中“陶唐即衰，其后有刘累学扰龙于豢龙氏”，关于豢字，《说文解字》中许慎的解释：“壳圈养豕也”据笔者进一步解释豢龙者，就是将这种龙圈而养之，是以植物作为喂养它的饲料。东汉的经史学家贾逵对此也有一段集解，曰：“夏后即飨，而又使求致龙，刘累不能得而瞿也”。根据其集解，笔者解释为：刘累饲养不善，死了一条雌的犀牛，刘累暗中做成肉酱献给孔甲吃了。孔甲吃了以后，派人要刘累再拿这种肉酱，刘累怕事情败露，就迁徒到鲁县去了。贾逵是东汉的经史大师，对《史记》避讳是应该理解的。他的学生许慎在其《说文解字》里，将犀归入牛类，并注是西南边境产。其又对豢字的解释，与贾逵在不同的侧面提示《史记》中刘累扰的龙，是生活中的龙，不是神话传说中的龙。这龙与犀牛有联系。四、初探司马迁《史记》中的龙读阅《史记》，及有关史料，依笔者之愚见，在《史记》里，司马迁写的龙，有神话中的龙与生活中的龙。笔者引据《史记》及其它史料列下：1、神话中的龙：“其先刘媪当息大泽之陂，梦与神遇。是时雷电晦冥，太公往视，则见蛟龙于其上。”又据：（孝文本纪）十五年，黄龙见成纪，天子乃复召鲁公孙臣，以为博士，申明土德事。于是上乃下诏曰：“有异物之神见于成纪，无害于民，岁以有年。联亲郊祀上帝诸神。礼官议。毋讳以劳联”。上述两例，是符合许慎《说文解字》（神话中）龙的解释。2、生活中的龙：“伯夷让夔龙。舜曰：然。”这是说：伯夷将掌管祭祀的礼官推让给夔龙。舜帝说：“可以”。这里的夔龙，是生活中的一个人。“天降龙二，有雌雄，孔甲不能食，未得豢龙氏。”这里的龙，应该是生活中的龙。当然有人会提出疑问：“天降龙二，分明是从天上降下来的，怎么会是生活中的龙呢？”要解释这个疑问，我借助下列史料予以说明。据司马光《资治通鉴》载：元狩元年，冬十月，上行幸雍、祠五畴、获兽，一角而足有五蹄。有司言：“陛下肃祗郊礼，上帝报享，锡一角兽，盖麟云。”于是以荐五畴，畴加一牛，以燎。久之，有司又言：“元宜以天瑞命，不宜以一二数，一元日建，二元以长星日光，今元以郊得一角兽日狩云。”其意思是说：汉武帝元狩元年，冬天的十月，皇上到雍巡行，在五畴祭祀，捉到一只野兽，有一支角而每只脚有五个蹄。有司报告说：“陛下恭敬地祭祀，上帝为了回报，赐给陛下一只角的兽，大概就是麒麟。”于是就在五畴庆祝，祭祀时特加一只牛，用以烧烤。过一段时间，有司又说：“帝王的年号应该用上天所降的祥瑞为名，不应该以一，二，三……等计年，第一个年号用‘建’，第二个年号因为长星的关系用‘光’，现在的年号因为郊祭得到一只角的兽就改为‘狩’吧”。这就是汉武帝元狩元年的由来。因此，“天降龙二”不应该是从天上降下来的龙，应当是从天而降的祥瑞。有司将这一只角的兽认为是麒麟，是一种攀附。麒麟是一种传说中的动物。现实中并不存在，但犀牛与它最接近。许慎的《说文解字》里，对麒（麟）的解释：“麝身，牛尾，一角。”依笔者之愚见，该动物是犀牛比较合理。司马迁写《史记》是公元前一0八年——一九一年，“上帝报享，锡一角兽”发生在汉武帝元狩元年，即公元前一二二年。这之间，有两点值得注意。（1）司马光《资治通鉴》中的“上帝报享，锡一角兽”与司马迁《史记》中的“天降龙二”，同载的是天降祥瑞，有异曲同工之妙。（2）发生在公元前一二二年的“上帝报享，锡一角兽”与此距后二、三十年司马迁《史记》中的“天降龙二”若说它们之间有某种联系或者联想，是有可能的，它们具有时间上的可能性，事实相似的可借鉴性，用于避讳的合理性。一、 汉书中关于犀牛的记载班固《汉忆》平帝纪：二年春，黄支国献犀牛。诏曰：“皇帝二名，通于器物，今更名，合于古制。使太师光奉太牢告祠高庙。”这段文字，笔者查阅了黄锦宏主编的《资治通鉴》白话，其对于皇帝二名，为啥要今更名，哪二帝更名，其只提到（汉平帝）皇帝改名为衍。而无另一个龙——犀牛，因是对龙的解释，是理解在神话中，而无法解释实际问题，黄锦宏先生也就免为其难。据我的探索，就将《汉书》平帝纪这段文字译成如下白话文：元始二年春，有南海中的黄支国进献犀牛。因犀牛二字忌讳，使其称谓不便，汉平帝下诏曰：犀牛，箕子（汉平帝的名）这两种通于各种物器称谓的，今取消忌讳，犀牛依照古时的称呼，为犀牛勿须避讳而用龙来替代。我刘箕子，改为刘衍。令光太师奉全牛、全羊、全猪到汉高祖的高庙祭祀，当然，这里面还有历史原因，王莽为炫耀威德，为日后篡权作舆论准备，就派人贿赂黄支国，让黄支国遣使贡献犀牛。平帝年幼，朝政全由王莽主宰，取消犀牛，箕子这二名的忌讳是对皇权的恝置。二、 刘累驯养的龙应是犀牛犀牛是可以驯养的，因犀牛是有灵性的动物。李商隐有：“身无彩凤双飞翼，心有灵犀一点通。”的诗句。犀牛彼此之间是用角来互表心灵，两只犀牛触角就能通融彼此的感情。犀牛的肉很好吃，且质地比牛肉更鲜，从驯养与食欲，犀牛是符合司马迁《史记》中“刘累学扰龙于豢龙氏，以事孔甲”。与应劭在《史记》集解里：“能驯养得其嗜欲”的记载。司马迁写《史记》中的夏朝应该是有文献的，司马光的《资治通鉴》中提到：“《夏书》有之曰：‘一人三失，怨岂在明，不见是图’”。《左传》中还有多处文字是直接援引《夏书》的。《夏书》为东周的人将记载夏人词语的一部“书”汇编成的书。笔者认为，司马迁写刘累扰龙依据了《夏书》或者关于记载夏朝的文献。将犀牛用龙来替代，是避讳，是受那个时代的限制，但是，他对自己笔下的龙，有种潜意识的，给人有启迪，给人有遐想。笔者才疏学浅，以一孔之见，妄解这千古之谜，肯定错误不少，望历史学家及有识之士于予斧正，以利于进一步探索。注：○1参见司马迁《史记》五帝本纪○2参见刘起于《尚书学史》（中华书局，1996年）第1章第2节。"
2,"这是我的一孔之见,希望各方有识之士发表意见.[此贴被刘律师在2007-11-0616:24重新编辑]"
3,"这篇论文旁证博引,说理深透,“探索，就将《汉书》平帝纪这段文字译成如下白话文：元始二年春，有南海中的黄支国进献犀牛。因犀牛二字忌讳，使其称谓不便，汉平帝下诏曰：犀牛，箕子（汉平帝的名）这两种通于各种物器称谓的，今取消忌讳，犀牛依照古时的称呼，为犀牛勿须避讳而用龙来替代。我刘箕子，改为刘衍。令光太师奉全牛、全羊、全猪到汉高祖的高庙祭祀，当然，这里面还有历史原因，王莽为炫耀威德，为日后篡权作舆论准备，就派人贿赂黄支国，让黄支国译遣使贡献犀牛。平帝年幼，朝政全由王莽主宰，取消犀牛，箕子这二名的忌讳是对皇权的恝置，，，，，，”这一译，译得非常好。历史上的难题就有了合理的解释。"
4,"这篇论文，很有见地，“（一）皇帝的名讳，字不讳。如汉高祖刘邦，字季。他的名邦避讳，而他的字是季就不讳。《汉书音义》曰：“讳邦”。又如战国时代的思想家荀况，在汉朝时只能称呼为赵卿。因汉宣帝叫刘询，询与荀同音，因避讳，将荀况改称为赵卿，因荀况是战国时代的赵国人。（二）皇帝的姓不讳，如《史记》中的刘字很多。（三）对刘字的解释避讳。如东汉时期许慎的《说文解字》里无“刘”字。徐铉引徐锴说：“《说文》无刘字，偏傍有之，此字又史传所不见”。为啥无刘字的解释呢？原来，刘字乃是杀的意思。因此，刘氏天下的汉朝，是讳解释刘字的。汉景帝刘启，这个启字与犀字古音是同音的。据《说文解字》中的注音：启，康礼切。犀,先稽切.《汉书音义》曰：“讳启”。又如《墨子耕柱》中“昔日夏后开。”汉人避景帝讳，改启为开字，可证明刘启的启字是避讳的。那么，刘启与犀牛又有什么联系呢？笔者不妨作一个推测。如果将犀牛二字倒读，就成了牛犀，这牛犀与刘启音同，这就增加避讳的可能性。笔者认为，司马迁在写《史记》时，用龙字取代避讳的犀牛是非常明智的，龙是皇帝天子的化身，用龙字替代避讳的犀牛，是能够被汉朝人，甚至当时汉武帝（刘启的儿子）所接受的。”"
5,"引用第2楼三江野老于2007-11-0615:04发表的:这篇论文旁证博引,说理深透,“探索，就将《汉书》平帝纪这段文字译成如下白话文：元始二年春，有南海中的黄支国进献犀牛。因犀牛二字忌讳，使其称谓不便，汉平帝下诏曰：犀牛，箕子（汉平帝的名）这两种通于各种物器称谓的，今取消忌讳，犀牛依照古时的称呼，为犀牛勿须避讳而用龙来替代。我刘箕子，改为刘衍。令光太师奉全牛、全羊、全猪到汉高祖的高庙祭祀，当然，这里面还有历史原因，王莽为炫耀威德，为日后篡权作舆论准备，就派人贿赂黄支国，让黄支国译遣使贡献犀牛。平帝年幼，朝政全由王莽主宰，取消犀牛，箕子这二名的忌讳是对皇权的恝置，，，，，，”这一译，译得非常好。历史上的难题就有了合理的解释。这篇论文我看过非常有水平.我同意上述观点"
6,"引用第3楼随风飘于2007-11-0615:25发表的:这篇论文，很有见地，“（一）皇帝的名讳，字不讳。如汉高祖刘邦，字季。他的名邦避讳，而他的字是季就不讳。《汉书音义》曰：“讳邦”。又如战国时代的思想家荀况，在汉朝时只能称呼为赵卿。因汉宣帝叫刘询，询与荀同音，因避讳，将荀况改称为赵卿，因荀况是战国时代的赵国人。（二）皇帝的姓不讳，如《史记》中的刘字很多。（三）对刘字的解释避讳。如东汉时期许慎的《说文解字》里无“刘”字。徐铉引徐锴说：“《说文》无刘字，偏傍有之，此字又史传所不见”。为啥无刘字的解释呢？原来，刘字乃是杀的意思。因此，刘氏天下的汉朝，是讳解释刘字的。汉景帝刘启，这个启字与犀字古音是同音的。据《说文解字》中的注音：启，康礼切。犀,先稽切.《汉书音义》曰：“讳启”。又如《墨子耕柱》中“昔日夏后开。”汉人避景帝讳，改启为开字，可证明刘启的启字是避讳的。.......我支持随风飘的意见."
7,引用第4楼石龙耕夫于2007-11-0616:19发表的:这篇论文我看过非常有水平.我同意上述观点石老的意见我支持.
8,引用第5楼石龙耕夫于2007-11-0616:19发表的:我支持随风飘的意见.此论文观点非常新颖，又能有说服力。妙哉。
9,引用第7楼南岭山人于2007-11-0707:20发表的:此论文观点非常新颖，又能有说服力。妙哉。我个人认为这论坛可以发这样一些学术研究的文章，但不能发太长的。
10,引用第4楼石龙耕夫于2007-11-0616:19发表的:这篇论文我看过非常有水平.我同意上述观点谢谢石老的支持.
