,TEXT
0,发表于 2014-10-2 03:51
1,马上注册，结交更多好友，享用更多功能，让你轻松玩转社区。您需要才可以下载或查看，没有帐号？x本帖最后由896906571于2014-10-215:30编辑制作者：哇哈体育名称：2014.10.01仁川亚运桌球男团金牌战中国vs韩国频道：ELTAHD解说：国语视频：MPEG4Video(H264)1280*72029.97fps3000Kbps音频：AC348000Hzstereo128Kbps请尊重我们的辛苦劳动，资源来自互联网，转帖者请注明出自！游客，如果您要查看本帖隐藏内容请
2,感谢楼主分享
3,桌球男团金牌战
4,感谢楼主分享
5,感谢楼主分享
6,谢谢谢谢谢
7,视频很好，很清晰，谢谢
8,感谢楼主分享精彩比赛视频。
9,看看能不能下载
10,感谢楼主分享
11,真的很好很好
12,谢楼主分享
13,太棒了  谢谢楼主分享
14,这个版本可以不用忍受杨大妈的劳力唠叨，萝莉啰嗦。
15,谢楼主分享了。
16,谢谢录制组
17,支持经典战哦
18,感谢楼主分享，下载收藏了
19,hbbbbbbbbbbbbbbbbb
20,支持哇哈支持楼主~~
21,多谢高清乒乓球
22,其实只想看第一场，其余糟粕，谢谢分享
23,谢谢！不知有没有颁奖。
24,看看很好学习
25,谢楼主分享了。
26,谢谢楼主分享
27,谢谢楼主~~~~~
28,好，感谢付出！！！！！！！！！
29,马龙。我爱你！！！
30,谢谢分享！
31,感谢发布比赛~
32,还是台湾的解说比较过瘾一点，下了
33,马地址~感谢分享~
34,ToseeMalongdealtwithcutball
35,感谢一下，很不错啊。
36,感谢楼主分
37,davydenko123发表于2014-10-210:54支持经典战哦韩国就是凶
38,顶一个啊。
39,感谢楼主分享！
40,第一场最精彩，谢谢分享。
41,学习下。。。。。。。。。。。
42,感谢分享高清视频资源
43,小伙子表现不错
44,谢谢分享！！！！
45,3QVERYMUCH
46,太棒了  谢谢楼主分享
47,相当精彩的比赛，必须顶起
48,下来看看，多谢分享
49,韩国竟然把日本灭了，厉害
50,马龙打朱世赫才是真正的看点
51,马龙打朱世赫才是真正的看点
52,非常感谢楼主分享
53,感谢楼主分享
54,谢谢楼主分享
55,能不能分开下载，就只想看看打猪那场。
56,感謝樓主的分享，辛苦了
57,多谢分享！！
58,萬分感激非常感謝
59,感谢楼主分享
60,马龙VS朱世赫堪称惊心大作，精彩程度太难得。支持楼主，一万个支持。
61,感觉很不错啊，又赢啦~
62,谢谢楼主啦~~~摸摸哒
63,听听这个版本的解说，感谢分享><
64,谢谢楼主的分享有你每天都会很精彩的
65,非常感谢楼主分享1
66,学习分享谢谢分享
67,喜欢这个版本
68,不错，支持一下！
69,马地址~感谢分享~
70,谢楼主分享啊
71,亚运世锦，乒乓球都是一样精彩有。
72,谢谢分享！11
73,支持经典战哦
74,谢谢分享！！！！！！！！！！
75,感谢楼主！！！！感谢分享！！！！
76,感谢楼主！非常迅速！
77,很精彩的比赛
78,好东西，收藏，感谢分享
79,謝謝分享喜歡桌球
80,woxiangyaokan
81,热烈祝贺中国勇获冠军，感谢分享
82,很喜欢感谢楼主分享，收藏啦。谢谢！
83,看看会不会
84,谢谢楼主，很好看的感觉
85,不得不看！！！！！！！！！！
86,很喜欢台湾的解说
87,谢谢分享这个比赛
88,想找到还可以下载的仁川亚运会比赛好难QAQ
89,感谢LZ分享~
90,谢谢分享，来看团体！！！
91,感谢楼主分享
92,视频很好，很清晰，谢谢分享
93,2014.10.01仁川亚运桌球男团金牌战
94,更多的你好烦你什么课，f.l
95,谢楼主分享
96,感谢分享！
97,谢谢分享我的大哥
98,谢谢楼主分享！感谢感谢感谢
99,谢谢楼主分享！！
100,感谢感谢感谢分享哦
101,多谢楼主=======
102,这场很精彩啊，感谢楼主分享
103,麻竹谢谢楼主
104,感谢楼主分享
105,徐vxvf发反反复复反反复复反复
106,桌球男团金牌战
107,谢谢楼主分享
108,感谢楼主分享
109,感谢楼主分享
110,感谢楼主分享
111,谢谢楼主分享
112,感谢分享！
113,谢谢楼主，有湾湾版就收湾湾的节奏！1个小时的削球真的打的是……
114,发育哦就看看吃撒饿
115,谢谢楼主分享
116,谢谢分享谢谢努力
117,感谢感谢楼主！
118,感谢楼主分享
119,感谢楼主分享
120,111111111111
121,感谢楼主分享，这场3人都发挥的不错
122,不知道能不能下啊_(:з」∠)_
123,很想看这场感谢
124,滴答滴答滴答滴答滴答的
125,是不是回复了，就能看了？谢谢
126,国语好啊23333
127,谢谢分享
128,非常感谢楼主分享
129,希望链接还能下载
130,谢谢谢谢谢谢
131,找了好久，谢谢楼主，
132,感谢楼主分享！
133,感谢楼主分享
134,辛苦了，谢谢分享
135,仁川亚运桌球男团金牌战中国vs韩国
136,谢谢楼主分享
137,谢谢分享！
138,enenenenen
139,楼主辛苦了~~~
140,好比赛  坐等下载
141,感谢楼主分享
142,感谢楼主分享
143,謝謝分享比賽
144,谢谢楼主分享
145,啦啦啦啦啦啦啦啦啦绿绿绿
146,桌球男团金牌战
147,谢谢楼主分享
148,阿里嘎多！！！！！！！！！！！！
149,感谢楼主分享
150,期待这场比赛，找好久了，谢谢分享
151,哈哈哈哈或或或或或或或或或或或
152,896906571发表于2014-10-203:51制作者：哇哈体育名称：2014.10.01仁川亚运桌球男团金牌战中国vs韩国今生今世可靠的K快点开学K联系联系了来自:微社区
153,谢谢，辛苦了，看看
154,仁川亚运桌球男团金牌战中国vs韩国[ELTAHD][国语]
155,十分感谢楼主分享！！！
156,感谢楼主分享
157,感谢分享精彩视频。。。。
158,感谢楼主的分享谢谢
159,感谢楼主分享
