,TEXT
0,No Time Found
1,　　农村老年人因为没有缴社保养老基金，他们不可能从社保养老基金这个大池子得到退休金，退休金的获得是基于多贡献多拿的原则。　　请问那些缴了养老社保基金的人，本来退休后能领到3000元，为了给没有缴养老社保基金的农民发退休金，这些缴养老社保基金的每月给他们发500元。这些人同意吗？　　再假设，缴社保养老基金的和没有缴社的拿一样的退休金，还有多少人在正当年，工作的时候积极缴纳社保基金？　　农村老年人无论拿的95元每月，还是每月60元的，都不是养老金，不能和退休职工的退休金相比，那只是社会补助的一种福利。　　现在农村人也可以缴社保基金了，甚至可以通过补缴的方式来领取退休金。如果真的想让自己父母有一份保障，作为子女的大可以通过补缴的方式，给他们参保。而不是通过绑架社会，从社保养老基金的大池子里吃大锅饭，这是不地道的，也是无赖的做法。　　【寒雪专栏】农村老年人95元养老金能养活吗？　　
2,　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。
3,　　美国普通民众的退休金是SocialSecurityRetirementBenefits（社保退休福利），平时工作要交社保税，个人交收入的6.20%，公司也交同样的比例，如果是自雇的话，个人要交12.40%。　　美国现在正常退休年龄是66岁，但1960年后出生的是67岁。获取退休金必须积攒40点，每1130收入算一点，但每年最多四点，这样至少要工作十年。如果配偶不工作或不符合工作年限要求，也可以领取少量退休金。如果配偶死亡，配偶对方（必须到退休年龄）以及未成年的孩子也会享受社保，那就不叫退休金了。　　退休金是如何计算的？　　第一步，取最高35年的年收入总和（经过通货膨胀调整的，1980年赚5万当然比2010年赚5万要多得多，社保局有每年的通货膨胀系数，最后统一换算成现值），如果没工作35年就取所有工作年份的收入。　　第二步将总收入除以35，再除以12得出平均月收入。　　第三步是计算正常退休年龄下的退休金（以2012年为例）：头767折算90%，从767到4624区间算32%，之后是15%。比如某人平均月收入4762，那他的退休金就是：767×0.9+（4624-767）x0.32+(4762-4624)x0.15=1945.　　那么看各种收入段的美国民众在正常退休年龄的退休金是多少：　　1）底薪如售货员，饭店服务员等，时薪8到10元，假如平均月收入1400：　　工作10年的话，退休金是360　　工作20年的话，退休金是701　　工作35年以上，退休金是892　　2）一般收入如办事员等，月薪2000到3000，假如平均月收入2500：　　工作10年的话，退休金是643　　工作20年的话，退休金是902　　工作35年以上，退休金是1245　　3）全职工作中位数收入如小学教师，记者等，年薪四万到五万，假如平均月收入3500：　　工作10年的话，退休金是765　　工作20年的话，退休金是1084　　工作35年以上，退休金是1565　　4）高薪工作如职业白领等，年薪6万到10万，假如平均月收入6000：　　工作10年的话，退休金是993　　工作20年的话，退休金是1542　　工作35年以上，退休金是2131　　5）顶薪如管理层等，超过11万社保最高限，即平均月收入9166：　　工作10年的话，退休金是1283　　工作20年的话，退休金是2017　　工作35年以上，退休金是2605　　这样说退休金的上限是每月2605，现在美国人领取社保（2014年3月份）平均社保金是1185（这包括所有领取社保的人，大多数人是退休人员，他们平均退休金是1298）。如果提前退休，最早在62岁可以领取，但只有全额的75%，以后会降到70%，延迟退休有奖励，退休金会涨，这里就不讨论了。　　美国也有双轨制，联邦雇员和地方政府雇员有自己的退休金计划（pension），或者参加普通民众的社保再加上自己的退休金计划（这样就可以拿双份，一份普通民众都有的退休金，一份是自己单独的退休金）。退休金一般是按工作年限，一年累计1%到2%，如联邦政府，83年前参加的，完全独立的退休金计划，一年累计2%到3%，83年后加入的，参加社保，另外每年累积1%退休金。本地州政府不参加社保，每年累积1.7%。退休金按最高收入3年或5年平均为基准，乘以累计值。如果工作35年，累计了70%，最高收入平均是6000每月，那么退休金就是4200，远大于社保的退休金。美国政府雇员总数是两千多万，占劳动力人口的15%，加上政府雇员中高薪的比例不少，造成退休金巨大的差距，一直被社会舆论批评。最近几年由于政府退休金开支越来越大，已经入不敷出，以前不需要交或者交得很少的退休金平摊（如1%或2%，远低于6.2%的社保缴纳比例）开始涨了。　　除了社保外，美国还有401K或类似的计划，这种补充退休金计划，主要是自己存钱，国家对这部分收入暂时不征税（社保税和老年医疗税不能免），另外公司也可能往里投点。到了60岁后可以取出来，但要交收入税，但老了收入低，税率会变少。美国不少小型公司根本不提供401K，即使提供401K计划的公司只有60%给员工出点钱，常见的公司匹配是给员工工资的3%。但美国人能有钱投401K的不多，一般是往401K投工资的5%到7%。美国超过1.56亿的劳工，只有5100万往401K投钱，截至2012年九月底，401K计划总价值3万5千亿美元，相当于每人6万美元（参加的人平均，如果算所有工作的，大约2万2）.　　有统计显示36%的有工作的和退休的美国人所有存款和投资（包括401K）不超过一千块钱，同时56%即将退休的美国人所有存款和投资不超过2万5，所以绝大多数美国人退休还只靠政府的退休金。盖洛普最近的民意调查显示美国人最大的担忧就是退不起休，占59%。
4,　　农民工缴费15年可领养老金　　http://finance.ifeng.com/money/roll/20090206/353376.shtml
5,　　建议取消养老金制度。养儿防老才是最公平的。
6,　　据台湾媒体报道，“行政院”会昨天通过老农津贴修正草案，将现行参加农保半年、满65岁即可领7000元(新台币，下同)老农津贴，提高为加保15年才能领取；已加入农保、加保年资未满15年，只能领取一半老农津贴。　　“农委会主委”陈保基表示，这项改革方案，真正受影响农民约2万人，已加入农保农民不受影响，改革方案若能顺利施行15年，将为公库省下460亿元。　　至于加保年资未满15年，满65岁只能领一半津贴，是否有法律“回溯”疑虑？陈保基说，这就如同现行公民年金给付领取基础年金3500元一样。
7,　　2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　养老金制度，实际是拿你自己的收入养老。　　比如你正年富力强的时候，把你的一部分收入（公司缴纳的部分也应该计算为你的劳动所得）收集起来，当你不能劳动的时候，作为生活的保障。　　而农民为什么不能拿退休金呢？就是因为没有为社保基金做贡献。
8,　　2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　看一下美国人领的退休金就可以知道：　　1、你拿到的钱是你工作时的贡献结果；　　2、贡献越多，你领的越多；　　3、领的越晚，你领的越多。　　4、美国退休年龄是67岁，许多人为了多拿退休金，不让退休后的生活质量下降严重，许多选择70多岁退休。甚至有一位二战老兵，在他85岁仍当校车司机。
9,　　2017-05-2514:12:15　　-----------------------------　　养老金制度是社会化的养儿防老。实际上是“众小”养“众老”。你现在缴纳的养老保险正在用来给你的父母发退休金。等你退休时如果社会没有足够的年轻人缴纳保险就只能延迟退休。　　人类社会退休和养老金制度的建立与发展只有一百多年的历史，中国养儿防老已经有数千年历史。　　社会养老金制度使人们变得越来越懒，有些人不用受疼受累生养孩子将来也能理直气壮的靠别人孩子缴纳社保金来给自己养老。　　而在养儿防老模式下，父母不仅要让孩子吃饱穿暖不生病，还要教育好孩子才能达到养老的目的。　　传统的养儿防老更符合“谁付出谁受益”原则。　　
10,　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　
11,　　2017-05-2514:12:15　　-----------------------------　　2017-05-2514:18:38　　养老金制度是社会化的养儿防老。实际上是“众小”养“众老”。你现在缴纳的养老保险正在用来给你的父母发退休金。等你退休时如果社会没有足够的年轻人缴纳保险就只能延迟退休。　　人类社会退休和养老金制度的建立与发展只有一百多年的历史，中国养儿防老已经有数千年历史。　　社会养老金制度使人们变得越来越懒，有些人不用受疼受累生养孩子将来也能理直气壮的靠别人孩子缴纳社保金来给自己养老。　　而在养儿防老......　　-----------------------------　　至少美国的退休年龄现在已经基本达到了那位报纸上建议的年龄，美国的退休年龄是67岁，看一下这些人的退休金，能保障他们的生活吗？　　因此，许多美国人选择70岁退休，有的甚至85岁退休。
12,　　2017-05-2514:27:05　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　-----------------------------　　这位神经病，这本身是两回事。你的智商能理解吗？　　比如你这位神经病愿意把你原来能领的4000元退休金，降到每年领400元，以便给那些老农民发退休金，你愿意吗？　　你这种口炮式的圣母有个屁用？
13,　　2017-05-2514:27:05　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　-----------------------------　　再问你这个神经病，你缴不缴社保基金，都能领一样的退休金，你是SB吗？你会继续缴社保基金？　　如果大家都不缴，社保基金的大池子谁会往里面投钱？
14,　　2017-05-2514:27:05　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　-----------------------------　　再问你这个神经病，当年吃大锅饭让中国吃富裕了吗？　　不缴社保基金的可以拿一样的钱，这个社保基金还有会再缴？　　社保基金没有钱，大家都领个屁啊？
15,　　你个傻B，农民补工业的时候饿死的是不是农民，八九十年代农民负担重的时候你不说，公务员以前不交领几倍你不说，现在农民一个月拿几十块钱你他妈叫了。　　
16,　　2017-05-2514:36:46　　你个傻B，农民补工业的时候饿死的是不是农民，八九十年代农民负担重的时候你不说，公务员以前不交领几倍你不说，现在农民一个月拿几十块钱你他妈叫了。　　-----------------------------　　傻逼孩子，公务员以及事业单位人员以前不缴社保基金，依然可以领退休金，当时财政没有为其工资里支出社保基金支出这一项。因为这些人退休时由国家财政转移支付。　　在当时来看，就是财政左口袋转移到右口袋而已。
17,　　你他娘搞清农民反补工业的历史再说　　
18,　　2017-05-2514:36:46　　你个傻B，农民补工业的时候饿死的是不是农民，八九十年代农民负担重的时候你不说，公务员以前不交领几倍你不说，现在农民一个月拿几十块钱你他妈叫了。　　-----------------------------　　傻逼孩子，你再怎么当圣母，也掩盖不了这个事实，你不会把你的退休金由4000元，降到400元，以便给农民发退休金。　　你这种口炮式的圣母，只能说明你会立牌坊，但不干人事而已。
19,　　2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　农民反补工业的历史确实有。　　那是基于农民得到了土地，是向国家缴纳的地租。
20,　　2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　2017-05-2514:43:33　　农民反补工业的历史确实有。　　那是基于农民得到了土地，是向国家缴纳的地租。　　-----------------------------　　那代人现在老了拿几十过份么，你咋不喷这个国家制度。　　
21,　　那你叫个什么　　
22,　　你才傻B孩子，现在应该强制人人都交　　
23,　　2017-05-2514:48:32　　那你叫个什么　　-----------------------------　　你这个蠢货连别人的帖子都没看懂？　　有人希望老年农民拿到和缴纳社保基金一样的退休金，这现实吗？这公平吗？
24,　　社保缺钱，而且注定缺口越来越大。缺口大了，就会饥不择食，对于一次性补交社保费来者不拒，所谓寅吃卯粮。想要拿养老金的人，其实根本不需要缴满十五年，退休前一次性买就可以了。逻辑不变，所以现在如此，以后也是如此。
25,　　2017-05-2514:49:20　　你才傻B孩子，现在应该强制人人都交　　-----------------------------　　拆农民的房子？或者从他家里强把粮食收走，缴纳社保基金？　　现在允许农民缴纳社保基金，以便老了可以领养老金。
